DEPTH,PHIE,SWE,VSH,PERM_TIM,GR,CALI,RHOB,ILD,NPHI
3446.8308,0,1,0.203,0.0,53.27920151,12.36359978,2.344799995,34.32970047,18.31439972
3446.9832,0,1,0.272,0.0,57.93510056,12.33160019,2.276299954,29.58650017,24.88269997
3447.1356,0,1,0.351,0.0,62.30849838,12.18560028,2.219500065,23.88069916,25.97470093
3447.288,0,1,0.432,0.0,66.11160278,12.2446003,2.220900059,21.8696003,25.7451992
3447.4404,0,1,0.59,0.0,72.1486969,12.26490021,2.241699934,21.04170036,26.2574997
3448.05,0,1,0.92,0.0,81.37599945,12.18610001,2.268100023,17.81749916,28.00939941
3448.2024,0,1,1.0,0.0,83.90419769,12.18400002,2.284199953,17.27179909,28.61669922
3448.3548,0,1,1.0,0.0,85.5821991,12.18669987,2.284399986,16.53429985,28.47200012
3448.5072,0,1,1.0,0.0,85.59179688,12.18080044,2.267499924,16.30019951,28.1317997
3448.6596,0,1,1.0,0.0,84.69779968,12.16730022,2.275300026,16.20319939,29.4416008
3482.1876,0,1,0.965,0.0,75.93080139,12.25860024,2.380500078,20.38780022,25.36300087
3482.34,0,1,0.493,0.0,64.53710175,12.26019955,2.366400003,23.88339996,24.7989006
3482.4924,0,1,0.222,0.0,52.98590088,12.27970028,2.249900103,24.18400002,24.37739945
3482.6448,0,1,0.053,0.0,39.69919968,12.29450035,2.178499937,27.86989975,18.4260006
3482.7972,0.002,1,0.013,0.0,34.66090012,12.24450016,2.131500006,29.22500038,16.64859963
3483.5592,0,1,0.0,0.0,32.42210007,12.24510002,2.155100107,28.80340004,15.1427002
3483.7116,0,1,0.0,0.0,32.57410049,12.27950001,2.137500048,29.60110092,14.57069969
3483.864,0.023,1,0.007,0.0,33.66419983,12.26449966,2.103399992,30.79980087,14.50510025
3484.0164,0.043,1,0.008,0.009,33.92399979,12.26500034,2.081799984,30.79529953,14.87370014
3484.626,0.036,1,0.005,0.004,33.40209961,12.30720043,2.08739996,29.57390022,18.10099983
3484.7784,0.029,1,0.007,0.001,33.71070099,12.30770016,2.096400023,28.40940094,18.29630089
3484.9308,0.026,1,0.007,0.001,33.71839905,12.33619976,2.10010004,28.76259995,19.10059929
3485.0832,0.017,1,0.007,0.0,33.7262001,12.30869961,2.109499931,27.9557991,19.42980003
3485.2356,0.016,1,0.009,0.0,34.03469849,12.30309963,2.112499952,27.74799919,19.48769951
3485.8452,0.011,0.205,0.06,0.0,40.46820068,12.2510004,2.14989996,25.9272995,22.01029968
3485.9976,0.014,0.134,0.092,0.0,43.64749908,12.23149967,2.161600113,25.92270088,22.17379952
3486.15,0.022,0.115,0.112,0.0,45.37630081,12.25199986,2.160599947,24.7147007,22.20249939
3486.3024,0.024,0.104,0.125,0.001,46.42480087,12.25249958,2.163500071,24.64299965,22.29599953
3486.4548,0.02,0.092,0.137,0.0,47.33530045,12.2531004,2.173099995,25.50779915,22.67200089
3487.0644,0.008,0.126,0.114,0.0,45.56159973,12.23849964,2.17750001,22.20389938,23.77729988
3487.2168,0,1,0.104,0.0,44.70679855,12.25559998,2.183500052,20.6345005,23.77529907
3487.3692,0,1,0.104,0.0,44.67470169,12.27620029,2.184900045,17.35790062,23.85630035
3487.5216,0.012,0.171,0.127,0.0,46.59339905,12.25730038,2.177900076,14.70730019,23.89159966
3487.674,0.022,0.182,0.157,0.0,48.82699966,12.27729988,2.177999973,11.21329975,24.06870079
3488.2836,0,1,0.259,0.0,55.03290176,12.26159954,2.255800009,6.879199982,25.0223999
3488.436,0,1,0.306,0.0,57.30630112,12.27980042,2.271899939,6.488500118,25.13689995
3488.5884,0,1,0.378,0.0,60.40940094,12.28040028,2.286600113,5.673999786,24.87490082
3488.8932,0,1,0.651,0.0,69.1257019,12.30150032,2.362900019,4.870699883,26.89780045
3489.5028,0,1,1.0,0.0,79.27410126,12.34360027,2.358299971,4.592400074,29.61560059
3489.6552,0,1,1.0,0.0,79.71029663,12.36419964,2.360100031,4.306799889,30.72960091
3489.8076,0,1,1.0,0.0,81.21659851,12.34469986,2.369899988,3.930999994,30.10569954
3489.96,0,1,1.0,0.0,82.21309662,12.36530018,2.362600088,3.8598001,29.99570084
3490.1124,0,1,1.0,0.0,84.21990204,12.51729965,2.350199938,3.783799887,32.98759842
3537.8136,0,1,0.429,0.0,71.36060333,14.20160008,2.430399895,4.366000176,43.65579987
3538.4232,0,1,0.231,0.0,57.29389954,12.92759991,2.449700117,5.593699932,28.22459984
3538.5756,0,1,0.253,0.0,59.22480011,13.04850006,2.476099968,5.787199974,28.34259987
3538.728,0,1,0.261,0.0,59.85319901,12.92930031,2.48270011,6.055500031,28.4605999
3538.8804,0,1,0.238,0.0,57.93640137,12.81449986,2.452600002,6.323599815,28.10969925
3539.0328,0,1,0.217,0.0,56.05970001,12.8107996,2.427999973,6.671199799,27.18009949
3539.6424,0,1,0.334,0.0,65.39980316,12.34000015,2.395100117,9.172400475,24.4048996
